,type,tag_name,discription,sheet_name,label,비고
110,Turbine1,M1.DWR_R_CMD,MN CND HTWL B   OTLT TEMP,COP_C_cop_reliability,COP C reliability,
111,Turbine1,M1.DWR_R_DPY,COP-C MTR AMPS,COP_C_cop_reliability,COP C reliability,MOTOR_CURRENT
112,Turbine1,M1.DWR_TAR2,COP-C MTR GUIDE BRG TEMP,COP_C_cop_reliability,COP C reliability,
113,Turbine1,M1.DWR_TAR2_DPY,COP-C MTR THR   BRG TEMP,COP_C_cop_reliability,COP C reliability,
114,Turbine1,M1.DWR_TAR_CMD,COP-C MTR-U WDG TEMP,COP_C_cop_reliability,COP C reliability,
115,Turbine1,M1.DWR_TAR_LT,COP-C MTR-V WDG TEMP,COP_C_cop_reliability,COP C reliability,
116,Turbine1,M1.DW_DPY,COP-C MTR-W WDG TEMP,COP_C_cop_reliability,COP C reliability,
117,Turbine1,M1.ECCENT,COP-C X VIB[51-4-6],COP_C_cop_reliability,COP C reliability,COP_PUMP_VIVRATION_X
118,Turbine1,M1.EX_FAULT,COP-C Y VIB[51-4-6],COP_C_cop_reliability,COP C reliability,COP_PUMP_VIVRATION_Y
119,Turbine1,M1.E_L18ACC_REC,MN CND HTWL A   OTLT TEMP,COP_C_cop_reliability,COP C reliability,COP_SUCTION_TEMPERATURE_1
120,Turbine1,M1.E_L33VDA_DP,MN CND HTWL B   OTLT TEMP,COP_C_cop_reliability,COP C reliability,COP_SUCTION_TEMPERATURE_2
121,Turbine1,M1.E_L33VDB_DP,COP-C X THRUST[51-4-6],COP_C_cop_reliability,COP C reliability,COP_THRUST_1
122,Turbine1,M1.E_L3TNR_DW,COP-C Y THRUST[51-4-6],COP_C_cop_reliability,COP C reliability,COP_THRUST_2
123,Turbine1,M1.E_L3TRB_LMT,"UNIT LOAD (MW,  ACTUAL)",COP_C_cop_reliability,COP C reliability,GENERATOR_WATTS
124,Turbine1,M1.E_L68DW,COP DISCH FLOW,COP_B_cop_reliability,COP B reliability,
125,Turbine1,M1.E_L83AMS,COP DISCH HDR   PRESS,COP_B_cop_reliability,COP B reliability,
126,Turbine1,M1.E_L83M_CO,MN CND HTWL A   OTLT TEMP,COP_B_cop_reliability,COP B reliability,COP_DISCHARGE_HEADER_TEMPERATURE_1
127,Turbine1,M1.E_L83SYNC,MN CND HTWL B   OTLT TEMP,COP_B_cop_reliability,COP B reliability,COP_DISCHARGE_HEADER_TEMPERATURE_2
128,Turbine1,M1.FP_HRSP_DPY,COP-B MTR AMPS,COP_B_cop_reliability,COP B reliability,COP_MOTOR_CURRENT
129,Turbine1,M1.FP_MSP1R_DPY,COP-B MTR GUIDE BRG TEMP,COP_B_cop_reliability,COP B reliability,
130,Turbine1,M1.FP_MSPLR_CMD,COP-B MTR THR   BRG TEMP,COP_B_cop_reliability,COP B reliability,
131,Turbine1,M1.FP_MSP_PSI,COP-B MTR-U WDG TEMP,COP_B_cop_reliability,COP B reliability,
132,Turbine1,M1.FP_MSV_DIF,COP-B MTR-V WDG TEMP,COP_B_cop_reliability,COP B reliability,
133,Turbine1,M1.FP_SPF_PSI,COP-B MTR-V WDG TEMP,COP_B_cop_reliability,COP B reliability,(중복)COP_MOTOR_WINDING_TEMP_W
134,Turbine1,M1.FT_HRS,COP-B X VIB[51-4-5],COP_B_cop_reliability,COP B reliability,COP_PUMP_VIBRATION_X
135,Turbine1,M1.FT_HRS_MAX,COP-B Y VIB[51-4-5],COP_B_cop_reliability,COP B reliability,COP_PUMP_VIBRATION_Y
136,Turbine1,M1.FT_HRS_MIN,MN CND HTWL A   OTLT TEMP,COP_B_cop_reliability,COP B reliability,COP_SUCTION_TEMPERATURE_1
137,Turbine1,M1.FT_L1A,MN CND HTWL B   OTLT TEMP,COP_B_cop_reliability,COP B reliability,COP_SUCTION_TEMPERATURE_2
138,Turbine1,M1.FT_L1B,COP-B X THRUST[51-4-5],COP_B_cop_reliability,COP B reliability,COP_THRUST_1
139,Turbine1,M1.FT_MSP,COP-B Y THRUST[51-4-5],COP_B_cop_reliability,COP B reliability,COP_THRUST_2
140,Turbine1,M1.FVR_REF_STAT,"UNIT LOAD (MW,  ACTUAL)",COP_B_cop_reliability,COP B reliability,GENERATOR_WATTS
141,Turbine1,M1.GEN_VOLTS_AB,COP DISCH FLOW,COP_A_cop_reliability,COP A reliability,
142,Turbine1,M1.GEN_VOLTS_BC,COP DISCH HDR   PRESS,COP_A_cop_reliability,COP A reliability,
143,Turbine1,M1.GEN_VOLTS_CA,MN CND HTWL A   OTLT TEMP,COP_A_cop_reliability,COP A reliability,COP_DISCHARGE_HEADER_TEMPERATURE_1
144,Turbine1,M1.HEAT_RATE_1X,MN CND HTWL B   OTLT TEMP,COP_A_cop_reliability,COP A reliability,COP_DISCHARGE_HEADER_TEMPERATURE_2
145,Turbine1,M1.HEAT_RATE_2X,COP-A MTR AMPS,COP_A_cop_reliability,COP A reliability,COP_MOTOR_CURRENT
146,Turbine1,M1.HEAT_RATE_3X,COP-A MTR GUIDE BRG TEMP,COP_A_cop_reliability,COP A reliability,
147,Turbine1,M1.IV1CUR,COP-A MTR THR   BRG TEMP,COP_A_cop_reliability,COP A reliability,
148,Turbine1,M1.IV1POS,COP-A MTR-U WDG TEMP,COP_A_cop_reliability,COP A reliability,
149,Turbine1,M1.IV1REF,COP-A MTR-V WDG TEMP,COP_A_cop_reliability,COP A reliability,
150,Turbine1,M1.IV1_ERR,COP-A MTR-W WDG TEMP,COP_A_cop_reliability,COP A reliability,
151,Turbine1,M1.IV2POS,COP-A X VIB[51-4-5],COP_A_cop_reliability,COP A reliability,COP_PUMP_VIBRATION_X
152,Turbine1,M1.IV2REF,COP-A Y VIB[51-4-5],COP_A_cop_reliability,COP A reliability,COP_PUMP_VIBRATION_Y
153,Turbine1,M1.IVR,MN CND HTWL A   OTLT TEMP,COP_A_cop_reliability,COP A reliability,COP_SUCTION_TEMPERATURE_1
154,Turbine1,M1.L14HRX,MN CND HTWL B   OTLT TEMP,COP_A_cop_reliability,COP A reliability,COP_SUCTION_TEMPERATURE_2
155,Turbine1,M1.L14TN_OTT1,COP-A X THRUST[51-4-5],COP_A_cop_reliability,COP A reliability,COP_THRUST_1
156,Turbine1,M1.L14ZE_BFA,COP-A Y THRUST[51-4-5],COP_A_cop_reliability,COP A reliability,COP_THRUST_2
157,Turbine1,M1.L14ZE_BFB,"UNIT LOAD (MW,  ACTUAL)",COP_A_cop_reliability,COP A reliability,GENERATOR_WATTS
158,Turbine1,M1.L24EX_CNTRLA,ECON INLET 1    FLOW,EVAPORATOR_eva,EVAPORATOR eva,중복
159,Turbine1,M1.L26SV_BFA,ECON INLET 2    FLOW,EVAPORATOR_eva,EVAPORATOR eva,중복
160,Turbine1,M1.L26SV_BFB,ECON INLET 1    FLOW,EVAPORATOR_eva,EVAPORATOR eva,중복
161,Turbine1,M1.L30ECC_BFA,ECON INLET 2    FLOW,EVAPORATOR_eva,EVAPORATOR eva,중복
162,Turbine1,M1.L30ECC_BFB,ECON INLET 3    FLOW,EVAPORATOR_eva,EVAPORATOR eva,
163,Turbine1,M1.L30EX_SS,ECON INLET FW   PRESS,EVAPORATOR_eva,EVAPORATOR eva,???????
164,Turbine1,M1.L30EX_TRIP,ECONINFLW SELD  XMTR,EVAPORATOR_eva,EVAPORATOR eva,???????
165,Turbine1,M1.L33CV_BFA_C,AVG ECON INLET  FW TEMP,EVAPORATOR_eva,EVAPORATOR eva,???????
166,Turbine1,M1.L33CV_BFB_C,"UNIT LOAD (MW,  ACTUAL)",EVAPORATOR_eva,EVAPORATOR eva,GENERATOR_WATTS
167,Turbine1,M1.L33CV_CL,MIXING PIECE    INLET TEMP,EVAPORATOR_eva,EVAPORATOR eva,
168,Turbine1,M1.L33DV_BFA_C,BRP INLET WATER TEMP,EVAPORATOR_eva,EVAPORATOR eva,???????
169,Turbine1,M1.L33DV_BFA_O,MIXING PIECE    INLET TEMP,EVAPORATOR_eva,EVAPORATOR eva,중복
170,Turbine1,M1.L33DV_BFB_C,WS OUTLET TEMP,EVAPORATOR_eva,EVAPORATOR eva,???????
171,Turbine1,M1.L33DV_BFB_O,WS OUTLET TEMP 3,EVAPORATOR_eva,EVAPORATOR eva,???????
172,Turbine1,M1.L33HSPV_CL,WS OUTLET TEMP  4,EVAPORATOR_eva,EVAPORATOR eva,???????
173,Turbine1,M1.L33HV_BFA_C,FDF-A OUTLET    PRESS,FD_FAN_A_fd_fan_performance,FD FAN A performance,???????
174,Turbine1,M1.L33HV_BFB_C,FDF-A INLET     PRESS ABS,FD_FAN_A_fd_fan_performance,FD FAN A performance,???????
175,Turbine1,M1.L33IV1_CL,"UNIT LOAD (MW,  ACTUAL)",FD_FAN_A_fd_fan_performance,FD FAN A performance,GENERATOR_WATTS
176,Turbine1,M1.L33LV_BFA_C,FDF-A INLET VANE DMD,FD_FAN_A_fd_fan_performance,FD FAN A performance,
177,Turbine1,M1.L33LV_BFA_O,FDF-A INLET VANE POS,FD_FAN_A_fd_fan_performance,FD FAN A performance,
178,Turbine1,M1.L33LV_BFB_C,FDF-A MOTOR     CURRENT,FD_FAN_A_fd_fan_performance,FD FAN A performance,
179,Turbine1,M1.L33LV_BFB_O,TOTAL AIR FLOW,FD_FAN_A_fd_fan_performance,FD FAN A performance,
180,Turbine1,M1.L33P_TGE,FDF-B OUTLET    PRESS,FD_FAN_B_fd_fan_performance,FD FAN B performance,???????
